,name,value
959,outfit,0.900071
960,competition,0.9938991
961,people,0.9801289
962,soccer,0.9360087
963,football,0.9306302
964,athlete,0.9297533
965,many,0.9274271
966,race (competition),0.91683173
967,stadium,0.9099729
968,road,0.9815828
969,signalise,0.97989106
970,billboard,0.9700295
971,signal,0.9687041
972,business,0.9562769
973,text,0.95421374
974,logo,0.9537919
975,football,0.9490977
976,street,0.939045
977,symbol,0.9309912
978,transportation system,0.9251497
979,guidance,0.9221608
980,sign,0.92172444
981,travel,0.9168076
982,soccer,0.91598547
983,no person,0.90068054
984,road,0.9932641
985,signalise,0.9909034
986,signal,0.9850408
987,billboard,0.97853816
988,business,0.97027016
989,travel,0.9634422
990,guidance,0.962345
991,street,0.96224177
992,text,0.9587816
993,sign,0.9535718
994,logo,0.95301235
995,traffic,0.9492012
996,transportation system,0.94510174
997,symbol,0.94457495
998,no person,0.9340899
999,signage,0.93198264
1000,information,0.93056667
1001,signpost,0.9033334
1002,competition,0.9982452
1003,stadium,0.9980485
1004,game,0.9903869
1005,ball,0.98623574
1006,football,0.9850441
1007,soccer,0.9775586
1008,match,0.9571486
1009,athlete,0.9553249
1010,goal,0.9477809
1011,web,0.93876463
1012,sports equipment,0.9361422
1013,sport,0.9358225
1014,victory,0.9315461
1015,tennis,0.91448027
1016,people,0.9074017
1017,cup,0.9057726
1018,group together,0.90006506
1019,competition,0.9990717
1020,stadium,0.9976531
1021,game,0.98870635
1022,football,0.9815155
1023,ball,0.98005354
1024,soccer,0.97351164
1025,athlete,0.9682145
1026,sport,0.95925725
1027,goal,0.9518826
1028,match,0.9500406
1029,victory,0.9439182
1030,group together,0.9367434
1031,people,0.9311446
1032,championship,0.9285543
1033,action,0.91758513
1034,champion,0.9156896
1035,spectator,0.9019371
1036,motion,0.9018377
1037,tournament,0.90051913
1038,stadium,0.99918175
1039,competition,0.99893975
1040,game,0.9881698
1041,sport,0.9847126
1042,ball,0.97844267
1043,cup,0.9593858
1044,tennis,0.95684177
1045,goal,0.953828
1046,football,0.93447024
1047,soccer,0.93076336
1048,athlete,0.92452836
1049,tournament,0.921124
1050,spectator,0.91900206
1051,people,0.9127568
1052,squad,0.9109398
1053,sports equipment,0.90974164
1054,victory,0.9029174
